pdbid,logKd-Ki,Delta_H0 (kJ/mol),Delta_H0 (kJ/mol)
4dzw,7.89,7.92,7.92
4eg4,7.89,7.92,7.92
4gts,7.89,7.92,7.92
4j1k,7.89,7.92,7.92
4kb8,7.89,7.92,7.92
4mz4,7.89,7.92,7.92
4rx9,7.89,7.92,7.92
4u93,7.89,7.92,7.92
4y85,7.89,7.92,7.92
4yti,7.89,7.92,7.92
4zz1,7.89,7.92,7.92
5d7r,7.89,7.92,7.92
2e9v,7.9,7.92,7.92
2yiq,7.9,7.92,7.92
3hha,7.9,7.92,7.92
3k22,7.9,7.92,7.92
4gk7,7.9,7.92,7.92
4uiu,7.9,7.92,7.92
2h5j,7.91,7.92,7.92
2q1l,7.91,7.92,7.92
2qk8,7.91,7.92,7.92
3sv8,7.91,7.92,7.92
4a50,7.91,7.92,7.92
1avp,7.92,7.92,7.92
1c4y,7.92,7.92,7.92
1f90,7.92,7.92,7.92
1k1p,7.92,7.92,7.92
1p2a,7.92,7.92,7.92
1q6s,7.92,7.92,7.92
1tfq,7.92,7.92,7.92
1tg5,7.92,7.92,7.92
1tl7,7.92,7.92,7.92
2cem,7.92,7.92,7.92
2gbf,7.92,7.92,7.92
2hxl,7.92,7.92,7.92
2irz,7.92,7.92,7.92
2pj2,7.92,7.92,7.92
2pj9,7.92,7.92,7.92
2q7o,7.92,7.92,7.92
2w1e,7.92,7.92,7.92
2x6d,7.92,7.92,7.92
2y0j,7.92,7.92,7.92
2yj2,7.92,7.92,7.92
3au6,7.92,7.92,7.92
3e0p,7.92,7.92,7.92
3fi3,7.92,7.92,7.92
3fz1,7.92,7.92,7.92
3h9f,7.92,7.92,7.92
3hhm,7.92,7.92,7.92
3hv7,7.92,7.92,7.92
3ivi,7.92,7.92,7.92
3kc0,7.92,7.92,7.92
3o0u,7.92,7.92,7.92
3od0,7.92,7.92,7.92
3p3j,7.92,7.92,7.92
3q92,7.92,7.92,7.92
3qpp,7.92,7.92,7.92
3rah,7.92,7.92,7.92
3vtd,7.92,7.92,7.92
3wv2,7.92,7.92,7.92
4ael,7.92,7.92,7.92
4at4,7.92,7.92,7.92
4bky,7.92,7.92,7.92
4g0c,7.92,7.92,7.92
4g68,7.92,7.92,7.92
4hs8,7.92,7.92,7.92
4j1f,7.92,7.92,7.92
4j5p,7.92,7.92,7.92
4kmu,7.92,7.92,7.92
4mq1,7.92,7.92,7.92
4mzs,7.92,7.92,7.92
4qga,7.92,7.92,7.92
4wt6,7.92,7.92,7.92
4xv3,7.92,7.92,7.92
4yjn,7.92,7.92,7.92
5aix,7.92,7.92,7.92
4g34,7.93,15.22,15.22
1mem,7.94,15.22,15.22
3dcs,7.94,15.22,15.22
3hqy,7.94,15.22,15.22
4gtp,7.94,15.22,15.22
1leg,7.95,15.22,15.22
2itp,7.95,15.22,15.22
3bh8,7.95,15.22,15.22
3fmq,7.95,15.22,15.22
1idb,7.96,15.22,15.22
1nzq,7.96,15.22,15.22
1o3e,7.96,15.22,15.22
1o3g,7.96,15.22,15.22
2e2b,7.96,15.22,15.22
2eh8,7.96,15.22,15.22
2oc9,7.96,15.22,15.22
2p83,7.96,15.22,15.22
2q15,7.96,15.22,15.22
2zva,7.96,15.22,15.22
3e3b,7.96,15.22,15.22
3fzr,7.96,15.22,15.22
3g5d,7.96,15.22,15.22
3iok,7.96,15.22,15.22
3ndm,7.96,15.22,15.22
3nnx,7.96,15.22,15.22
3nwb,7.96,15.22,15.22
3pp0,7.96,15.22,15.22
3qs1,7.96,15.22,15.22
3rvi,7.96,15.22,15.22
3sni,7.96,15.22,15.22
3v5j,7.96,15.22,15.22
3vw9,7.96,15.22,15.22
4bcj,7.96,15.22,15.22
4j2t,7.96,15.22,15.22
4jbs,7.96,15.22,15.22
4m4q,7.96,15.22,15.22
4m5u,7.96,15.22,15.22
4ncg,7.96,15.22,15.22
4pp7,7.96,15.22,15.22
4r7m,7.96,15.22,15.22
4y46,7.96,15.22,15.22
4y8c,7.96,15.22,15.22
4yt6,7.96,15.22,15.22
5ajx,7.96,15.22,15.22
5ea7,7.96,15.22,15.22
3fmr,7.97,15.22,15.22
4x1f,7.97,15.22,15.22
5ap1,7.97,15.22,15.22
5ap5,7.97,15.22,15.22
4gto,7.98,15.22,15.22
1mf4,7.99,15.22,15.22
1apw,8,15.22,15.22
1ayv,8,15.22,15.22
1b5g,8,15.22,15.22
1bzs,8,15.22,15.22
1fpp,8,15.22,15.22
1fvv,8,15.22,15.22
1g2a,8,15.22,15.22
1i5d,8,15.22,15.22
1nc6,8,15.22,15.22
1o46,8,15.22,15.22
1sm2,8,15.22,15.22
1tps,8,15.22,15.22
1utr,8,15.22,15.22
1ycm,8,15.22,15.22
1yhs,8,15.22,15.22
1yw8,8,15.22,15.22
1z3j,8,15.22,15.22
2ama,8,15.22,15.22
2r3j,8,15.22,15.22
2r3m,8,15.22,15.22
2r6f,8,15.22,15.22
2w1c,8,15.22,15.22
2wev,8,15.22,15.22
2ymt,8,15.22,15.22
2z8e,8,15.22,15.22
3c9e,8,15.22,15.22
3co9,8,15.22,15.22
3cvk,8,15.22,15.22
3cwj,8,15.22,15.22
3d5m,8,15.22,15.22
3dba,8,15.22,15.22
3dej,8,15.22,15.22
3fc1,8,15.22,15.22
3gur,8,15.22,15.22
3gzn,8,15.22,15.22
3l0e,8,15.22,15.22
3l8x,8,15.22,15.22
3nga,8,15.22,15.22
3qd3,8,15.22,15.22
3rey,8,15.22,15.22
3rwd,8,15.22,15.22
3s7m,8,15.22,15.22
4ap0,8,15.22,15.22
4axa,8,15.22,15.22
4d08,8,15.22,15.22
4dr9,8,15.22,15.22
4f7l,8,15.22,15.22
4g8l,8,15.22,15.22
4hcu,8,15.22,15.22
4jjf,8,15.22,15.22
4jyu,8,15.22,15.22
4kfp,8,15.22,15.22
4l4m,8,15.22,15.22
4lp0,8,15.22,15.22
4lv2,8,15.22,15.22
4mb9,8,15.22,15.22
4o2e,8,15.22,15.22
4pzh,8,15.22,15.22
4qg7,8,15.22,15.22
4u45,8,15.22,15.22
4yff,8,15.22,15.22
4ykn,8,15.22,15.22
4zjj,8,15.22,15.22
5bml,8,15.22,15.22
8abp,8,15.22,15.22
9abp,8,15.22,15.22
1m5b,8.01,15.22,15.22
2pj1,8.01,15.22,15.22
3p44,8.01,15.22,15.22
2zdt,8.02,15.22,15.22
3iit,8.02,15.22,15.22
3n4c,8.02,15.22,15.22
3v49,8.02,15.22,15.22
4n00,8.02,15.22,15.22
1mpa,8.04,15.22,15.22
1rhj,8.04,15.22,15.22
2mpa,8.04,15.22,15.22
3at3,8.04,15.22,15.22
3vzv,8.04,15.22,15.22
4gtm,8.04,15.22,15.22
4zz2,8.04,15.22,15.22
1hrn,8.05,15.22,15.22
1jjt,8.05,15.22,15.22
1lqd,8.05,15.22,15.22
1o42,8.05,15.22,15.22
1ong,8.05,15.22,15.22
1sjh,8.05,15.22,15.22
1x7r,8.05,15.22,15.22
2i0h,8.05,15.22,15.22
2iw9,8.05,15.22,15.22
2no3,8.05,15.22,15.22
2wxh,8.05,15.22,15.22
2xcg,8.05,15.22,15.22
2xm9,8.05,15.22,15.22
2z60,8.05,15.22,15.22
2zv9,8.05,15.22,15.22
3cd8,8.05,15.22,15.22
3emg,8.05,15.22,15.22
3ens,8.05,15.22,15.22
3eqy,8.05,15.22,15.22
3mwu,8.05,15.22,15.22
3nnw,8.05,15.22,15.22
3ot8,8.05,15.22,15.22
3qkl,8.05,15.22,15.22
3txo,8.05,15.22,15.22
4a4o,8.05,15.22,15.22
4aa4,8.05,15.22,15.22
4bcc,8.05,15.22,15.22
4byi,8.05,15.22,15.22
4o4g,8.05,15.22,15.22
4ogv,8.05,15.22,15.22
4oth,8.05,15.22,15.22
4qhp,8.05,15.22,15.22
4wmc,8.05,15.22,15.22
4x7l,8.05,15.22,15.22
4y8d,8.05,15.22,15.22
5abg,8.05,15.22,15.22
5ece,8.05,15.22,15.22
1iwq,8.06,15.22,15.22
1zgb,8.06,15.22,15.22
2qu5,8.06,15.22,15.22
3hiw,8.06,15.22,15.22
3ovz,8.06,15.22,15.22
4avt,8.06,15.22,15.22
4fab,8.06,15.22,15.22
4i5m,8.06,15.22,15.22
5ea5,8.06,15.22,15.22
1dva,8.07,15.22,15.22
1gni,8.07,15.22,15.22
1jtq,8.07,15.22,15.22
2jbo,8.07,15.22,15.22
2jbp,8.07,15.22,15.22
3ant,8.07,15.22,15.22
3jwr,8.07,15.22,15.22
3l9n,8.07,15.22,15.22
3oxz,8.07,15.22,15.22
3r2y,8.07,15.22,15.22
3v8w,8.07,15.22,15.22
4um9,8.07,15.22,15.22
3fmz,8.08,15.22,15.22
3k39,8.08,15.22,15.22
3lil,8.08,15.22,15.22
3wd9,8.08,15.22,15.22
4edz,8.08,15.22,15.22
4mf0,8.08,15.22,15.22
4qlu,8.08,15.22,15.22
4wxi,8.08,15.22,15.22
6fiv,8.08,15.22,15.22
1acj,8.09,15.22,15.22
2pj0,8.09,15.22,15.22
3kqe,8.09,15.22,15.22
3oe6,8.09,15.22,15.22
4his,8.09,15.22,15.22
4kzc,8.09,15.22,15.22
5cf6,8.09,15.22,15.22
1dbk,8.1,15.22,15.22
1ody,8.1,15.22,15.22
1p4r,8.1,15.22,15.22
1qj7,8.1,15.22,15.22
1rhr,8.1,15.22,15.22
1rt1,8.1,15.22,15.22
1uk0,8.1,15.22,15.22
1xud,8.1,15.22,15.22
1zxc,8.1,15.22,15.22
2a5u,8.1,15.22,15.22
2b52,8.1,15.22,15.22
2iog,8.1,15.22,15.22
2qk5,8.1,15.22,15.22
2ql5,8.1,15.22,15.22
2qp8,8.1,15.22,15.22
2rcw,8.1,15.22,15.22
2wpa,8.1,15.22,15.22
3at4,8.1,15.22,15.22
3caj,8.1,15.22,15.22
3ion,8.1,15.22,15.22
3ith,8.1,15.22,15.22
3l58,8.1,15.22,15.22
3l8v,8.1,15.22,15.22
3l9h,8.1,15.22,15.22
3lox,8.1,15.22,15.22
3lxs,8.1,15.22,15.22
3nal,8.1,15.22,15.22
3qai,8.1,15.22,15.22
3skg,8.1,15.22,15.22
3tyv,8.1,15.22,15.22
3vw7,8.1,15.22,15.22
4bid,8.1,15.22,15.22
4d0x,8.1,15.22,15.22
4d0x,8.1,15.22,15.22
4eg5,8.1,15.22,15.22
4eqc,8.1,15.22,15.22
4hai,8.1,15.22,15.22
4hgl,8.1,15.22,15.22
4i1c,8.1,15.22,15.22
4i9i,8.1,15.22,15.22
4jq8,8.1,15.22,15.22
4nwm,8.1,15.22,15.22
4oq3,8.1,15.22,15.22
4p10,8.1,15.22,15.22
4pms,8.1,15.22,15.22
4rwl,8.1,15.22,15.22
4ryg,8.1,15.22,15.22
4u44,8.1,15.22,15.22
4wf2,8.1,15.22,15.22
4wht,8.1,15.22,15.22
4why,8.1,15.22,15.22
4wke,8.1,15.22,15.22
4wnp,8.1,15.22,15.22
4xy2,8.1,15.22,15.22
4zxx,8.1,15.22,15.22
4zyi,8.1,15.22,15.22
5ar8,8.1,15.22,15.22
1err,8.11,15.22,15.22
2jko,8.11,15.22,15.22
2jkq,8.11,15.22,15.22
3vry,8.11,15.22,15.22
3vye,8.11,15.22,15.22
4aze,8.11,15.22,15.22
4ge4,8.11,15.22,15.22
4p6g,8.11,15.22,15.22
4puz,8.11,15.22,15.22
4v04,8.11,15.22,15.22
4z7i,8.11,15.22,15.22
5ea4,8.11,15.22,15.22
2k2g,8.12,15.22,15.22
3hiv,8.12,15.22,15.22
3rwc,8.12,15.22,15.22
3upx,8.12,15.22,15.22
4li8,8.12,15.22,15.22
3dng,8.13,15.22,15.22
3oev,8.13,15.22,15.22
3q3k,8.13,15.22,15.22
4qfr,8.13,15.22,15.22
5alc,8.13,15.22,15.22
3lxg,8.14,15.22,15.22
3oe8,8.14,15.22,15.22
4q07,8.14,15.22,15.22
4rlp,8.14,15.22,15.22
1aq1,8.15,15.22,15.22
1g27,8.15,15.22,15.22
1ikx,8.15,15.22,15.22
1jlq,8.15,15.22,15.22
1pmn,8.15,15.22,15.22
1tfz,8.15,15.22,15.22
1tt1,8.15,15.22,15.22
1u9x,8.15,15.22,15.22
2ayp,8.15,15.22,15.22
2bed,8.15,15.22,15.22
2bkz,8.15,15.22,15.22
2fm2,8.15,15.22,15.22
2wxi,8.15,15.22,15.22
2ydk,8.15,15.22,15.22
2ywp,8.15,15.22,15.22
2zof,8.15,15.22,15.22
3bea,8.15,15.22,15.22
3dz5,8.15,15.22,15.22
3faa,8.15,15.22,15.22
3frz,8.15,15.22,15.22
3g0b,8.15,15.22,15.22
3h0e,8.15,15.22,15.22
3kb7,8.15,15.22,15.22
3l54,8.15,15.22,15.22
3nw6,8.15,15.22,15.22
3nww,8.15,15.22,15.22
3oaw,8.15,15.22,15.22
3r4o,8.15,15.22,15.22
3rtp,8.15,15.22,15.22
4alv,8.15,15.22,15.22
4bcf,8.15,15.22,15.22
4bcg,8.15,15.22,15.22
4dbn,8.15,15.22,15.22
4e4x,8.15,15.22,15.22
4erw,8.15,15.22,15.22
4ge7,8.15,15.22,15.22
4jr5,8.15,15.22,15.22
4jze,8.15,15.22,15.22
4kip,8.15,15.22,15.22
4l33,8.15,15.22,15.22
4lop,8.15,15.22,15.22
4loq,8.15,15.22,15.22
4lxb,8.15,15.22,15.22
4mbi,8.15,15.22,15.22
4n5t,8.15,15.22,15.22
4op3,8.15,15.22,15.22
4qt1,8.15,15.22,15.22
4uwf,8.15,15.22,15.22
4uwg,8.15,15.22,15.22
4ycl,8.15,15.22,15.22
4yl3,8.15,15.22,15.22
4ytf,8.15,15.22,15.22
1c8l,8.16,15.22,15.22
3w2s,8.16,15.22,15.22
4zud,8.16,15.22,15.22
2g63,8.17,15.22,15.22
3hac,8.17,15.22,15.22
3krd,8.17,15.22,15.22
3kwf,8.17,15.22,15.22
4aac,8.17,15.22,15.22
4ayy,8.17,15.22,15.22
4k5y,8.17,15.22,15.22
4mxc,8.17,15.22,15.22
4q1e,8.17,15.22,15.22
4xct,8.17,15.22,15.22
1dwd,8.18,15.22,15.22
2iiv,8.18,15.22,15.22
2pj3,8.18,15.22,15.22
3ixk,8.18,15.22,15.22
3oe9,8.18,15.22,15.22
3wzj,8.18,15.22,15.22
4anb,8.18,15.22,15.22
4kbk,8.18,15.22,15.22
4qlq,8.18,15.22,15.22
1epq,8.19,15.22,15.22
1oky,8.19,15.22,15.22
1p03,8.19,15.22,15.22
1w6j,8.19,15.22,15.22
2h5d,8.19,15.22,15.22
2wtw,8.19,15.22,15.22
2yj8,8.19,15.22,15.22
2zir,8.19,15.22,15.22
3blr,8.19,15.22,15.22
3c5u,8.19,15.22,15.22
3g6h,8.19,15.22,15.22
3hpt,8.19,15.22,15.22
1ek2,8.2,15.22,15.22
1owd,8.2,15.22,15.22
1sqp,8.2,15.22,15.22
2jdv,8.2,15.22,15.22
2jjr,8.2,15.22,15.22
2jkk,8.2,15.22,15.22
2pqj,8.2,15.22,15.22
3cjf,8.2,15.22,15.22
3dcr,8.2,15.22,15.22
3k23,8.2,15.22,15.22
3qd4,8.2,15.22,15.22
4abi,8.2,15.22,15.22
4ezk,8.2,15.22,15.22
4jr0,8.2,15.22,15.22
1o0d,8.21,15.22,15.22
2e9n,8.21,15.22,15.22
2ff1,8.21,15.22,15.22
2ff2,8.21,15.22,15.22
3up7,8.21,15.22,15.22
3vhe,8.21,15.22,15.22
4hiq,8.21,15.22,15.22
4hyu,8.21,15.22,15.22
4ixh,8.21,15.22,15.22
4m6q,8.21,15.22,15.22
5c4o,8.21,15.22,15.22
1ao8,8.22,15.22,15.22
1dth,8.22,15.22,15.22
1em6,8.22,15.22,15.22
1ets,8.22,15.22,15.22
1jr1,8.22,15.22,15.22
1kdz,8.22,15.22,15.22
1rt2,8.22,15.22,15.22
1sje,8.22,15.22,15.22
1u9v,8.22,15.22,15.22
2az8,8.22,15.22,15.22
2c6o,8.22,15.22,15.22
2cbs,8.22,15.22,15.22
2cji,8.22,15.22,15.22
2qzx,8.22,15.22,15.22
2v16,8.22,15.22,15.22
3bym,8.22,15.22,15.22
3d9v,8.22,15.22,15.22
3h0y,8.22,15.22,15.22
3hhk,8.22,15.22,15.22
3i28,8.22,15.22,15.22
3nan,8.22,15.22,15.22
3pup,8.22,15.22,15.22
3q77,8.22,15.22,15.22
3tti,8.22,15.22,15.22
3u2q,8.22,15.22,15.22
3upi,8.22,15.22,15.22
3whw,8.22,15.22,15.22
4a7c,8.22,15.22,15.22
4bs4,8.22,15.22,15.22
4bs5,8.22,15.22,15.22
4c4g,8.22,15.22,15.22
4c4h,8.22,15.22,15.22
4deg,8.22,15.22,15.22
4deg,8.22,15.22,15.22
4gtt,8.22,15.22,15.22
4i7c,8.22,15.22,15.22
4kba,8.22,15.22,15.22
4kju,8.22,15.22,15.22
4lwv,8.22,15.22,15.22
4otf,8.22,15.22,15.22
4pdk,8.22,15.22,15.22
4qyo,8.22,15.22,15.22
4r3s,8.22,15.22,15.22
4u0i,8.22,15.22,15.22
4x7n,8.22,15.22,15.22
4xcu,8.22,15.22,15.22
4xh2,8.22,15.22,15.22
4yl0,8.22,15.22,15.22
4ylj,8.22,15.22,15.22
4z7s,8.22,15.22,15.22
5alz,8.22,15.22,15.22
1ero,8.23,15.22,15.22
2w1f,8.23,15.22,15.22
3qbn,8.23,15.22,15.22
4ptg,8.23,15.22,15.22
1eve,8.24,15.22,15.22
1ke6,8.24,15.22,15.22
1nmk,8.24,15.22,15.22
1npv,8.24,15.22,15.22
2gde,8.24,15.22,15.22
3g4l,8.24,15.22,15.22
4hmq,8.24,15.22,15.22
5a4c,8.24,15.22,15.22
1auj,8.25,15.22,15.22
2h5e,8.25,15.22,15.22
3vjl,8.25,15.22,15.22
1iky,8.26,15.22,15.22
2chm,8.26,15.22,15.22
3cen,8.26,15.22,15.22
3dpo,8.26,15.22,15.22
4di2,8.26,15.22,15.22
4uvy,8.26,15.22,15.22
1clu,8.27,15.22,15.22
3tdc,8.27,15.22,15.22
4eb9,8.27,15.22,15.22
4lp6,8.27,15.22,15.22
4xv2,8.27,15.22,15.22
3l17,8.28,15.22,15.22
3nw7,8.28,15.22,15.22
3o95,8.28,15.22,15.22
4j3d,8.28,15.22,15.22
4mha,8.28,15.22,15.22
4pov,8.28,15.22,15.22
2a4w,8.29,15.22,15.22
4wn1,8.29,15.22,15.22
1bzf,8.3,15.22,15.22
1dtt,8.3,15.22,15.22
1lqf,8.3,15.22,15.22
1okz,8.3,15.22,15.22
1q6t,8.3,15.22,15.22
1rww,8.3,15.22,15.22
1s17,8.3,15.22,15.22
1sve,8.3,15.22,15.22
1uv5,8.3,15.22,15.22
1yt9,8.3,15.22,15.22
1zzl,8.3,15.22,15.22
2aeb,8.3,15.22,15.22
2gv2,8.3,15.22,15.22
2hrp,8.3,15.22,15.22
2imd,8.3,15.22,15.22
2iqg,8.3,15.22,15.22
2nv7,8.3,15.22,15.22
2pe1,8.3,15.22,15.22
2pll,8.3,15.22,15.22
2qmd,8.3,15.22,15.22
2rfn,8.3,15.22,15.22
2x81,8.3,15.22,15.22
2ydj,8.3,15.22,15.22
2yoj,8.3,15.22,15.22
3atu,8.3,15.22,15.22
3bc5,8.3,15.22,15.22
3bjm,8.3,15.22,15.22
3cid,8.3,15.22,15.22
3d20,8.3,15.22,15.22
3fyj,8.3,15.22,15.22
3g0d,8.3,15.22,15.22
3g0g,8.3,15.22,15.22
3g86,8.3,15.22,15.22
3gn7,8.3,15.22,15.22
3h5s,8.3,15.22,15.22
3h98,8.3,15.22,15.22
3lxl,8.3,15.22,15.22
3ly2,8.3,15.22,15.22
3ocb,8.3,15.22,15.22
3ocb1,8.3,15.22,15.22
3ot3,8.3,15.22,15.22
3skf,8.3,15.22,15.22
3tyq,8.3,15.22,15.22
4az3,8.3,15.22,15.22
4bea,8.3,15.22,15.22
4dus,8.3,15.22,15.22
4ejn,8.3,15.22,15.22
4elb,8.3,15.22,15.22
4emv,8.3,15.22,15.22
4fob,8.3,15.22,15.22
4gfn,8.3,15.22,15.22
4gtq,8.3,15.22,15.22
4gtr,8.3,15.22,15.22
4hgs,8.3,15.22,15.22
4i6f,8.3,15.22,15.22
4i6h,8.3,15.22,15.22
4jps,8.3,15.22,15.22
4jzd,8.3,15.22,15.22
4kcg,8.3,15.22,15.22
4l4l,8.3,15.22,15.22
4lwu,8.3,15.22,15.22
4n1u,8.3,15.22,15.22
4nus,8.3,15.22,15.22
4ohk,8.3,15.22,15.22
4olh,8.3,15.22,15.22
4qo4,8.3,15.22,15.22
4rx7,8.3,15.22,15.22
4wki,8.3,15.22,15.22
4xhk,8.3,15.22,15.22
4zy6,8.3,15.22,15.22
5am3,8.3,15.22,15.22
5buj,8.3,15.22,15.22
5bvo,8.3,15.22,15.22
5cxh,8.3,15.22,15.22
1rgj,8.31,15.22,15.22
2hs2,8.31,15.22,15.22
4acd,8.31,15.22,15.22
4csj,8.31,15.22,15.22
4ddl,8.31,15.22,15.22
2dq7,8.32,15.22,15.22
2fdd,8.32,15.22,15.22
2qtb,8.32,15.22,15.22
2xhr,8.32,15.22,15.22
3qak,8.32,15.22,15.22
3tv6,8.32,15.22,15.22
4bbg,8.32,15.22,15.22
4kin,8.32,15.22,15.22
5a3u,8.32,15.22,15.22
1u9q,8.33,15.22,15.22
2wj2,8.33,15.22,15.22
3ns7,8.33,15.22,15.22
3sdi,8.33,15.22,15.22
3sw2,8.33,15.22,15.22
4eev,8.33,15.22,15.22
4htx,8.33,15.22,15.22
4i33,8.33,15.22,15.22
1uwb,8.34,15.22,15.22
3ay9,8.34,15.22,15.22
3f82,8.34,15.22,15.22
3lj7,8.34,15.22,15.22
4yhf,8.34,15.22,15.22
1mj7,8.35,15.22,15.22
2zxa,8.35,15.22,15.22
3m6p,8.35,15.22,15.22
4mvh,8.35,15.22,15.22
9hvp,8.35,15.22,15.22
1bb0,8.36,15.22,15.22
3g45,8.36,15.22,15.22
3oj8,8.36,15.22,15.22
3wiz,8.36,15.22,15.22
4g3f,8.36,15.22,15.22
4gzf,8.36,15.22,15.22
4k19,8.36,15.22,15.22
4lts,8.36,15.22,15.22
4y2b,8.36,15.22,15.22
5dls,8.36,15.22,15.22
1ouy,8.37,15.22,15.22
2fjp,8.37,15.22,15.22
2nmy,8.37,15.22,15.22
2nnk,8.37,15.22,15.22
2nnp,8.37,15.22,15.22
2xdw,8.37,15.22,15.22
3h0z,8.37,15.22,15.22
3q6k,8.37,15.22,15.22
3tcp,8.37,15.22,15.22
3wyx,8.37,15.22,15.22
3hab,8.38,15.22,15.22
4ere,8.38,15.22,15.22
4g3e,8.38,15.22,15.22
4xv1,8.38,15.22,15.22
1it6,8.39,15.22,15.22
1x7b,8.39,15.22,15.22
3dpk,8.39,15.22,15.22
4p1r,8.39,15.22,15.22
4qyg,8.39,15.22,15.22
1a4g,8.4,15.22,15.22
1b6m,8.4,15.22,15.22
1jil,8.4,15.22,15.22
1nd5,8.4,15.22,15.22
1o47,8.4,15.22,15.22
1q3w,8.4,15.22,15.22
1s64,8.4,15.22,15.22
1w4l,8.4,15.22,15.22
1w7x,8.4,15.22,15.22
2oic,8.4,15.22,15.22
2oqv,8.4,15.22,15.22
2pe2,8.4,15.22,15.22
2rl5,8.4,15.22,15.22
2xyn,8.4,15.22,15.22
3bl7,8.4,15.22,15.22
3coh,8.4,15.22,15.22
3efw,8.4,15.22,15.22
3eos,8.4,15.22,15.22
3frg,8.4,15.22,15.22
3gz9,8.4,15.22,15.22
3kwz,8.4,15.22,15.22
3nrm,8.4,15.22,15.22
3ook,8.4,15.22,15.22
3r2b,8.4,15.22,15.22
3s4q,8.4,15.22,15.22
3s74,8.4,15.22,15.22
3ttz,8.4,15.22,15.22
3u4w,8.4,15.22,15.22
3vap,8.4,15.22,15.22
4at3,8.4,15.22,15.22
4b8o,8.4,15.22,15.22
4bgh,8.4,15.22,15.22
4c61,8.4,15.22,15.22
4cnh,8.4,15.22,15.22
4dk5,8.4,15.22,15.22
4fzc,8.4,15.22,15.22
4jai,8.4,15.22,15.22
4jsr,8.4,15.22,15.22
4l52,8.4,15.22,15.22
4mqu,8.4,15.22,15.22
4nw6,8.4,15.22,15.22
4px6,8.4,15.22,15.22
4ra5,8.4,15.22,15.22
4rcf,8.4,15.22,15.22
4uro,8.4,15.22,15.22
4uyn,8.4,15.22,15.22
4x7k,8.4,15.22,15.22
4z3v,8.4,15.22,15.22
5ccm,8.4,15.22,15.22
5cs2,8.4,15.22,15.22
5d9k,8.4,15.22,15.22
5em6,8.4,15.22,15.22
2am9,8.41,15.22,15.22
2w6c,8.41,15.22,15.22
3mvm,8.41,15.22,15.22
3oxc,8.41,15.22,15.22
4agd,8.41,15.22,15.22
4ngt,8.41,15.22,15.22
5ak2,8.41,15.22,15.22
1htg,8.42,15.22,15.22
2g5p,8.42,15.22,15.22
2isc,8.42,15.22,15.22
4ezj,8.42,15.22,15.22
4hbp,8.42,15.22,15.22
1jje,8.43,15.22,15.22
2c8w,8.43,15.22,15.22
3qlb,8.43,15.22,15.22
3tam,8.43,15.22,15.22
4cqe,8.43,15.22,15.22
4g3g,8.43,15.22,15.22
4zk5,8.43,15.22,15.22
1bmn,8.44,15.22,15.22
1ynd,8.44,15.22,15.22
3uhm,8.44,15.22,15.22
3w1f,8.44,15.22,15.22
4bbe,8.44,15.22,15.22
1jq9,8.45,15.22,15.22
1a3e,8.46,15.22,15.22
1bgo,8.46,15.22,15.22
1iht,8.46,15.22,15.22
1ld8,8.46,15.22,15.22
1u3q,8.46,15.22,15.22
1u9w,8.46,15.22,15.22
2mip,8.46,15.22,15.22
3bx5,8.46,15.22,15.22
3kl6,8.46,15.22,15.22
3nam,8.46,15.22,15.22
3q2g,8.46,15.22,15.22
4he9,8.46,15.22,15.22
4lge,8.46,15.22,15.22
2ds1,8.47,15.22,15.22
2qo8,8.47,15.22,15.22
2wei,8.47,15.22,15.22
3b28,8.47,15.22,15.22
3bhb,8.47,15.22,15.22
3eqs,8.48,15.22,15.22
3wqh,8.48,15.22,15.22
4jpa,8.48,15.22,15.22
4nvq,8.48,15.22,15.22
4o0v,8.48,15.22,15.22
5ap2,8.48,15.22,15.22
2ieo,8.49,15.22,15.22
2oqi,8.49,15.22,15.22
3gfe,8.49,15.22,15.22
3pp1,8.49,15.22,15.22
3wyy,8.49,15.22,15.22
4a22,8.49,15.22,15.22
4ehe,8.49,15.22,15.22
4mwu,8.49,15.22,15.22
3d3p,8.5,15.22,15.22
3qd0,8.5,15.22,15.22
1cr6,8.51,15.22,15.22
1d8m,8.51,15.22,15.22
1g05,8.51,15.22,15.22
1qpl,8.51,15.22,15.22
2rg5,8.51,15.22,15.22
3tia,8.51,15.22,15.22
3zpt,8.51,15.22,15.22
1b6p,8.52,15.22,15.22
1d7x,8.52,15.22,15.22
1hbj,8.52,15.22,15.22
1jij,8.52,15.22,15.22
1o44,8.52,15.22,15.22
1oit,8.52,15.22,15.22
1q6p,8.52,15.22,15.22
1rhu,8.52,15.22,15.22
1sps,8.52,15.22,15.22
1ta2,8.52,15.22,15.22
1urw,8.52,15.22,15.22
1w14,8.52,15.22,15.22
2b1p,8.52,15.22,15.22
2bqw,8.52,15.22,15.22
2bxt,8.52,15.22,15.22
2gbi,8.52,15.22,15.22
2hfp,8.52,15.22,15.22
2ow3,8.52,15.22,15.22
2qmf,8.52,15.22,15.22
2v11,8.52,15.22,15.22
2vaq,8.52,15.22,15.22
2vf6,8.52,15.22,15.22
2vnm,8.52,15.22,15.22
2vtp,8.52,15.22,15.22
2w1g,8.52,15.22,15.22
2wxp,8.52,15.22,15.22
2xa4,8.52,15.22,15.22
2xbj,8.52,15.22,15.22
2xfk,8.52,15.22,15.22
3cic,8.52,15.22,15.22
